date,signal_time,entry_time,symbol,strike,opt_type,entry_price,exit_time,exit_price,result,pnl_pts,pnl_rs,lot_size,paper_trade,gap,P,R1,S1,SL,remark
20260525,09:16:34,09:16:34,STRANGLE_23850PE_24050CE,23850/24050,STRANGLE,132.45,15:20:04,103.6,EOD,28.85,1875.25,65,False,238.1,23744.27,23806.59,23656.99,-7000.0,Strangle Short Selling (ATM±100) - EOD Exit
20260526,09:59:09,09:59:09,NIFTY26MAY2624000PE,24000,PE,48.5,11:00:06,18.4,SL,-30.1,-3913.0,130,False,-50.45,24008.53,24091.41,23967.01,24028.53,BASE Option Buying (PE) - SL Exit
20260526,09:16:24,09:16:24,STRANGLE_23900PE_24100CE,23900/24100,STRANGLE,43.9,18:15:57,0.1,EOD,43.8,2847.0,65,False,-50.45,24008.53,24091.41,23967.01,-7000.0,Strangle Short Selling (ATM±100) - EOD Exit
20260527,09:17:45,09:17:45,STRANGLE_23800PE_24000CE,23800/24000,STRANGLE,264.45,15:20:03,219.0,EOD,45.45,2954.25,65,False,-33.35,23962.98,24040.51,23836.16,-7000.0,Strangle Short Selling (ATM�100) - EOD Exit
